"Faction_key"	"Faction Name"	"initial year"	"WHEN ENDED"
"A"	"Abandoned"	NA	NA
"AB"	"Azami Brotherhood"	"3071"	"3081"
"AC"	"Azami Caliphate"	"2450"	"2516"
"AE"	"Amaris Empire"	"2767"	"2779"
"AG"	"Alliance of Galedon"	"2302"	"2319"
"ALC"	"Arc-Royal Liberty Coalition"	"3151"	NA
"AML"	"Alyina Mercantile League"	"3151"	NA
"AP"	"Axumite Providence"	"2245"	NA
"AuC"	"Aurigan Coalition"	"2910"	NA
"AuD"	"Aurigan Directorate"	"3022"	"3025"
"C"	"Clans"	"2807"	NA
"CBR"	"Clan Burrock"	"2807"	"3059"
"CBS"	"Clan Blood Spirit"	"2807"	"3085"
"CC"	"Capellan Confederation"	"2367"	NA
"CCC"	"Clan Cloud Cobra"	"2807"	NA
"CCom"	"Capellan Commonality"	"2310"	"2366"
"CCY"	"Clan Coyote"	"2807"	NA
"CDP"	"Calderon Protectorate"	"3066"	NA
"CDS"	"Clan Diamond Shark"	"2895"	"3100"
"CF"	"Circinus Federation"	"2785"	"3081"
"CFM"	"Clan Fire Mandrill"	"2807"	"3073"
"CGB"	"Clan Ghost Bear"	"2807"	"3060"
"CGS"	"Clan Goliath Scorpion"	"2807"	"3080"
"CH"	"Capellan Hegemony"	"2270"	"2310"
"CHH"	"Clan Hell's Horses"	"2807"	NA
"CI"	"Chainelane Isles"	NA	NA
"CIH"	"Clan Ice Hellion"	"2807"	"3074"
"CJF"	"Clan Jade Falcon"	"2807"	NA
"CM"	"Chaos March"	"3058"	"3069"
"CMN"	"Clan Mongoose"	"2807"	"2868"
"CNC"	"Clan Nova Cat"	"2807"	"3143"
"CoF"	"Coalition Forces"	"3073"	"3081"
"CS"	"ComStar"	"2788"	NA
"CSA"	"Clan Star Adder"	"2807"	NA
"CSF"	"Clan Sea Fox"	"2807"	NA
"CSJ"	"Clan Smoke Jaguar"	"2807"	"3060"
"CSL"	"Clan Stone Lion"	"3075"	NA
"CSR"	"Clan Snow Raven"	"2807"	"3083"
"CSV"	"Clan Steel Viper"	"2807"	"3075"
"CTF"	"Chesterton Trade Federation"	"2220"	"2357"
"CWF"	"Clan Wolf"	"2807"	"3143"
"CWM"	"Clan Widowmaker"	"2807"	"2834"
"CWV"	"Clan Wolverine"	"2807"	"2823"
"CWX"	"Clan Wolf-in-Exile"	"3057"	NA
"D"	"Disputed"	NA	NA
"DA"	"Duchy of Andurien"	"3030"	NA
"DC"	"Draconis Combine"	"2319"	NA
"DGM"	"Duchy of Graham-Marik"	"3079"	"3082"
"DL"	"Duchy of Liao"	"2315"	"2366"
"DO"	"Duchy of Oriente"	"3079"	"3086"
"DoO"	"Duchy of Orloff"	"3079"	"3086"
"DS"	"Duchy of Small"	"3058"	"3066"
"DT"	"Duchy of Tamarind"	"3071"	"3078"
"DTA"	"Duchy of Tamarind-Abbey"	"3078"	"3139"
"EF"	"Elysian Fields"	NA	"3049"
"EI"	"Escorpión Imperio"	"3080"	"3141"
"FCF"	"Federated Commonwealth (FS)"	"3028"	"3057"
"FCL"	"Federated Commonwealth (LC)"	"3028"	"3057"
"FCo"	"Ferris Collective"	"3087"	NA
"FFR"	"Finmark Free Republic"	"2779"	"2792"
"FO"	"Federation of Oriente"	"2241"	"2271"
"FoS"	"Federation of Skye"	"2299"	"2341"
"FR"	"Free Rasalhague Republic"	"3034"	"3103"
"FrR"	"Fronc Reaches"	"3066"	NA
"FS"	"Federated Suns"	"2317"	NA
"FvC"	"Filtvelt Coalition"	"3072"	NA
"FWL"	"Free Worlds League"	"2271"	NA
"GBD"	"Ghost Bear Dominion"	"3060"	"3103"
